,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,rikitea,PF,2021-01-24 15:43:16,-23.1203,-134.9692,0,67,80.31199999999995,4.19
1,atuona,PF,2021-01-24 15:43:16,-9.8,-139.0333,8,77,78.38599999999997,6.4
2,hamilton,US,2021-01-24 15:42:34,39.1834,-84.5333,90,93,33.27799999999996,2.06
3,marfino,RU,2021-01-24 15:43:16,55.7028,37.3822,75,100,38.26400000000003,4
4,cortez,US,2021-01-24 15:43:16,37.3489,-108.5859,90,80,35.86999999999996,6.69
5,tidore,,,,,,,,
6,curico,CL,2021-01-24 15:43:16,-34.9833,-71.2333,0,35,92.26400000000004,2.57
7,puerto del rosario,ES,2021-01-24 15:43:17,28.5004,-13.8627,20,77,64.66999999999996,2.57
8,castro,BR,2021-01-24 15:43:17,-24.7911,-50.0119,100,92,68.84600000000006,1.52
9,albany,US,2021-01-24 15:43:04,42.6001,-73.9662,43,37,23.26999999999996,4.02
10,santa eulalia del rio,,,,,,,,
11,ginda,IN,2021-01-24 15:43:17,30.6945,78.4932,0,51,39.07400000000001,3.25
12,darnah,LY,2021-01-24 15:43:17,32.767,22.6367,85,40,59.45,7.78
13,tuktoyaktuk,CA,2021-01-24 15:43:17,69.4541,-133.0374,90,77,-7.329999999999991,2.06
14,busselton,AU,2021-01-24 15:43:17,-33.65,115.3333,0,94,50.26999999999996,2.18
15,sangar,RU,2021-01-24 15:43:17,63.9242,127.4739,77,57,-56.47000000000001,1.49
16,dikson,RU,2021-01-24 15:43:17,73.5069,80.5464,100,89,-13.305999999999976,5.63
17,kumluca,TR,2021-01-24 15:43:17,36.3703,30.2869,58,75,55.00399999999995,1.05
18,cherskiy,RU,2021-01-24 15:43:17,68.75,161.3,100,86,-24.79000000000002,3.26
19,punta arenas,CL,2021-01-24 15:43:17,-53.15,-70.9167,75,62,57.469999999999956,13.89
20,ushuaia,AR,2021-01-24 15:40:39,-54.8,-68.3,40,41,61.069999999999965,6.17
21,bluff,NZ,2021-01-24 15:43:17,-46.6,168.3333,98,83,60.27799999999996,8.94
22,xai-xai,MZ,2021-01-24 15:43:17,-25.0519,33.6442,100,82,78.92599999999999,2.93
23,makubetsu,JP,2021-01-24 15:43:18,45.3714,141.8211,34,94,20.227999999999962,5.78
24,georgetown,MY,2021-01-24 15:40:17,5.4112,100.3354,40,89,79.06999999999996,1.54
25,husavik,IS,2021-01-24 15:43:18,66.0449,-17.3389,90,93,25.069999999999958,2.06
26,saint-francois,FR,2021-01-24 15:43:18,46.4154,3.9054,90,93,37.66999999999996,1.54
27,dunedin,NZ,2021-01-24 15:41:32,-45.8742,170.5036,73,70,62.27599999999999,3.58
28,avera,US,2021-01-24 15:43:18,33.194,-82.5271,90,47,57.469999999999956,2.06
29,ilheus,BR,2021-01-24 15:43:18,-14.7889,-39.0494,75,89,79.06999999999996,0.51
30,puerto ayora,EC,2021-01-24 15:43:18,-0.7393,-90.3518,75,70,84.46999999999997,7.2
31,mataura,NZ,2021-01-24 15:43:18,-46.1927,168.8643,95,83,60.27799999999996,8.94
32,teguise,ES,2021-01-24 15:43:18,29.0605,-13.564,0,72,64.66999999999996,3.09
33,hobart,AU,2021-01-24 15:43:18,-42.8794,147.3294,0,49,70.26799999999999,4.63
34,saint-philippe,RE,2021-01-24 15:43:18,-21.3585,55.7679,75,83,79.06999999999996,3.6
35,constantine,DZ,2021-01-24 15:42:52,36.365,6.6147,20,66,48.469999999999956,4.12
36,port alfred,ZA,2021-01-24 15:43:19,-33.5906,26.891,95,93,64.27400000000002,0.89
37,cape town,ZA,2021-01-24 15:37:58,-33.9258,18.4232,0,56,68.26999999999995,6.17
38,mar del plata,AR,2021-01-24 15:38:27,-38.0023,-57.5575,20,78,80.86999999999996,6.69
39,tabiauea,,,,,,,,
40,anadyr,RU,2021-01-24 15:43:19,64.75,177.4833,0,76,-16.32999999999999,3
41,kapaa,US,2021-01-24 15:43:19,22.0752,-159.319,40,78,77.26999999999995,8.23
42,hermanus,ZA,2021-01-24 15:39:00,-34.4187,19.2345,27,71,66.27200000000005,2.68
43,santa maria,BR,2021-01-24 15:43:19,-29.6842,-53.8069,75,100,71.86999999999996,1.03
44,komsomolskiy,UZ,2021-01-24 15:43:19,40.4272,71.7189,6,63,26.86999999999996,2.06
45,souillac,MU,2021-01-24 15:43:19,-20.5167,57.5167,75,83,79.06999999999996,3.09
46,tessalit,ML,2021-01-24 15:43:19,20.1986,1.0114,27,18,66.48800000000006,4.8
47,new norfolk,AU,2021-01-24 15:43:19,-42.7826,147.0587,0,49,70.26799999999999,4.63
48,vaini,TO,2021-01-24 15:43:19,-21.2,-175.2,75,89,79.06999999999996,2.06
49,half moon bay,US,2021-01-24 15:43:19,37.4636,-122.4286,75,81,52.26799999999999,2.57
50,san borja,BO,2021-01-24 15:43:19,-14.8167,-66.85,74,78,81.03200000000001,2.76
51,lompoc,US,2021-01-24 15:43:20,34.6391,-120.4579,75,67,55.66999999999996,6.17
52,fairbanks,US,2021-01-24 15:38:46,64.8378,-147.7164,97,84,9.266000000000009,1.01
53,bocas del toro,PA,2021-01-24 15:43:20,9.3333,-82.25,54,38,73.27400000000002,5.36
54,carnarvon,AU,2021-01-24 15:43:20,-24.8667,113.6333,10,68,73.66999999999996,7.2
55,butaritari,KI,2021-01-24 15:43:20,3.0707,172.7902,45,78,79.15999999999998,4.4
56,eyl,SO,2021-01-24 15:43:20,7.9803,49.8164,22,72,72.19399999999997,7.64
57,shache,CN,2021-01-24 15:43:20,38.4167,77.2406,0,77,20.714000000000034,1.35
58,guerrero negro,MX,2021-01-24 15:43:20,27.9769,-114.0611,10,47,63.23000000000005,9.57
59,honiara,SB,2021-01-24 15:43:20,-9.4333,159.95,100,72,80.24000000000002,0.43
60,paka,MY,2021-01-24 15:43:20,4.6374,103.4368,88,94,75.46999999999997,1.03
61,taolanaro,,,,,,,,
